Train 480,000 | batch 1024 | 469 steps/epoch | scalars ±[1.0, 1000.0] (uniform)
Parameters: 118,089
  ep  1 | loss=1.0367 | val  ACC@5%=0.9994  ACC@1%=0.9940  ACC@0.1%=0.9335 | test ACC@1%=0.9932  ACC@0.1%=0.9351
  ep  2 | loss=0.3452 | val  ACC@5%=0.9997  ACC@1%=0.9975  ACC@0.1%=0.9701 | test ACC@1%=0.9973  ACC@0.1%=0.9709
  ep  3 | loss=0.1675 | val  ACC@5%=0.9998  ACC@1%=0.9978  ACC@0.1%=0.9710 | test ACC@1%=0.9976  ACC@0.1%=0.9714
  ep  4 | loss=0.1375 | val  ACC@5%=0.9999  ACC@1%=0.9981  ACC@0.1%=0.9792 | test ACC@1%=0.9982  ACC@0.1%=0.9791
  ep  5 | loss=0.0952 | val  ACC@5%=0.9998  ACC@1%=0.9983  ACC@0.1%=0.9827 | test ACC@1%=0.9981  ACC@0.1%=0.9825
  ep  6 | loss=0.0945 | val  ACC@5%=1.0000  ACC@1%=0.9991  ACC@0.1%=0.9827 | test ACC@1%=0.9989  ACC@0.1%=0.9821
  ep  7 | loss=0.1167 | val  ACC@5%=1.0000  ACC@1%=0.9986  ACC@0.1%=0.9794 | test ACC@1%=0.9984  ACC@0.1%=0.9792
  ep  8 | loss=0.0745 | val  ACC@5%=0.9999  ACC@1%=0.9981  ACC@0.1%=0.9813 | test ACC@1%=0.9980  ACC@0.1%=0.9817
  ep  9 | loss=0.0791 | val  ACC@5%=1.0000  ACC@1%=0.9990  ACC@0.1%=0.9839 | test ACC@1%=0.9989  ACC@0.1%=0.9837
  ep 10 | loss=0.0669 | val  ACC@5%=0.9999  ACC@1%=0.9977  ACC@0.1%=0.9755 | test ACC@1%=0.9976  ACC@0.1%=0.9755
  ep 11 | loss=0.0665 | val  ACC@5%=0.9999  ACC@1%=0.9982  ACC@0.1%=0.9820 | test ACC@1%=0.9983  ACC@0.1%=0.9823
  ep 12 | loss=0.0603 | val  ACC@5%=1.0000  ACC@1%=0.9988  ACC@0.1%=0.9835 | test ACC@1%=0.9989  ACC@0.1%=0.9839
  ep 13 | loss=0.0679 | val  ACC@5%=1.0000  ACC@1%=0.9993  ACC@0.1%=0.9867 | test ACC@1%=0.9990  ACC@0.1%=0.9864
  ep 14 | loss=0.0499 | val  ACC@5%=0.9999  ACC@1%=0.9991  ACC@0.1%=0.9868 | test ACC@1%=0.9991  ACC@0.1%=0.9865
  ep 15 | loss=0.0501 | val  ACC@5%=0.9999  ACC@1%=0.9989  ACC@0.1%=0.9805 | test ACC@1%=0.9990  ACC@0.1%=0.9810
  ep 16 | loss=0.0512 | val  ACC@5%=1.0000  ACC@1%=0.9991  ACC@0.1%=0.9850 | test ACC@1%=0.9989  ACC@0.1%=0.9844
  ep 17 | loss=0.0439 | val  ACC@5%=1.0000  ACC@1%=0.9996  ACC@0.1%=0.9874 | test ACC@1%=0.9993  ACC@0.1%=0.9883
  ep 18 | loss=0.0377 | val  ACC@5%=1.0000  ACC@1%=0.9993  ACC@0.1%=0.9879 | test ACC@1%=0.9990  ACC@0.1%=0.9871
  ep 19 | loss=0.0383 | val  ACC@5%=1.0000  ACC@1%=0.9995  ACC@0.1%=0.9894 | test ACC@1%=0.9993  ACC@0.1%=0.9897
  ep 20 | loss=0.0601 | val  ACC@5%=1.0000  ACC@1%=0.9995  ACC@0.1%=0.9898 | test ACC@1%=0.9993  ACC@0.1%=0.9897
  ep 21 | loss=0.0341 | val  ACC@5%=1.0000  ACC@1%=0.9996  ACC@0.1%=0.9901 | test ACC@1%=0.9993  ACC@0.1%=0.9904
  ep 22 | loss=0.0363 | val  ACC@5%=1.0000  ACC@1%=0.9994  ACC@0.1%=0.9908 | test ACC@1%=0.9994  ACC@0.1%=0.9903
  ep 23 | loss=0.0342 | val  ACC@5%=1.0000  ACC@1%=0.9996  ACC@0.1%=0.9913 | test ACC@1%=0.9994  ACC@0.1%=0.9913
  ep 24 | loss=0.0335 | val  ACC@5%=1.0000  ACC@1%=0.9997  ACC@0.1%=0.9913 | test ACC@1%=0.9993  ACC@0.1%=0.9912
  ep 25 | loss=0.0307 | val  ACC@5%=1.0000  ACC@1%=0.9997  ACC@0.1%=0.9923 | test ACC@1%=0.9994  ACC@0.1%=0.9925
  ep 26 | loss=0.0321 | val  ACC@5%=1.0000  ACC@1%=0.9997  ACC@0.1%=0.9931 | test ACC@1%=0.9996  ACC@0.1%=0.9932
  ep 27 | loss=0.0307 | val  ACC@5%=1.0000  ACC@1%=0.9997  ACC@0.1%=0.9929 | test ACC@1%=0.9996  ACC@0.1%=0.9932
  ep 28 | loss=0.0300 | val  ACC@5%=1.0000  ACC@1%=0.9997  ACC@0.1%=0.9929 | test ACC@1%=0.9996  ACC@0.1%=0.9931
  ep 29 | loss=0.0295 | val  ACC@5%=1.0000  ACC@1%=0.9998  ACC@0.1%=0.9935 | test ACC@1%=0.9997  ACC@0.1%=0.9936
  ep 30 | loss=0.0295 | val  ACC@5%=1.0000  ACC@1%=0.9998  ACC@0.1%=0.9933 | test ACC@1%=0.9997  ACC@0.1%=0.9935

Encoder saved → results/stage1_numericbench/encoder.pth
